date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:15	49978/49978	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2016:25:11%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/comedy.html	F:/movies/p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/comedy.html	(from https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/index.html)
22:10:16	127087/127087	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2016:25:13%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/series.html	F:/movies/p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/series.html	(from https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/index.html)
22:10:18	35305/35305	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2016:25:14%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/news.html	F:/movies/p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/news.html	(from https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/index.html)
22:10:19	215812/215812	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2016:25:15%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/list.html	F:/movies/p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/list.html	(from https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/index.html)
22:10:21	198652/198652	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fa055a9bdab5dee3c50e85fe3576c354%22	http://connect.facebook.net/en_GB/sdk.js	F:/movies/connect.facebook.net/en_GB/sdk.js	(from https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/index.html)
22:10:22	23992/23992	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2016:25:17%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/contact.html	F:/movies/p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/contact.html	(from https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/index.html)
22:10:28	94987/94987	---M--	200	added ('OK')	application/javascript	etag:%22781371ddfbb2cb65d8f0ba3c4e406033%22	http://platform.twitter.com/widgets.js	F:/movies/platform.twitter.com/widgets.js	(from https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/index.html)
22:10:28	199636/199636	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Dec%202017%2012:39:34%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/images/11.jpg	F:/movies/p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/images/11.jpg	(from https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/index.html)
22:10:28	43883/43883	---MC-	200	added ('OK')	application/javascript	date:Wed,%2031%20Oct%202018%2016:25:22%20GMT	https://apis.google.com/js/platform.js	F:/movies/apis.google.com/js/platform.js	(from https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/index.html)
22:10:29	40709/40709	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2016:25:22%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/single.html	F:/movies/p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/single.html	(from https://p.w3layouts.com/demos_new/template_demo/05-12-2017/movies_pro-demo_Free/482523427/web/index.html)
